timestamp,panel.power
2021-01-01T00:00:00-08:00,+0.250742+0.046678j
2021-01-01T00:29:43-08:00,+4.888007+0.046678j
2021-01-01T01:00:00-08:00,+4.888179+0.035697j
2021-01-01T01:23:34-08:00,+15.146362+0.035697j
2021-01-01T02:00:00-08:00,+15.118352+0.032082j
2021-01-01T02:13:42-08:00,+0.146420+0.032082j
2021-01-01T02:17:03-08:00,+4.938874+0.032082j
2021-01-01T02:47:47-08:00,+15.118352+0.032082j
2021-01-01T03:00:00-08:00,+15.106780+0.030351j
2021-01-01T03:32:45-08:00,+0.134848+0.030351j
2021-01-01T03:36:07-08:00,+5.001989+0.030351j
2021-01-01T04:00:00-08:00,+5.071062+0.032035j
2021-01-01T04:19:53-08:00,+15.123367+0.032035j
2021-01-01T05:00:00-08:00,+15.224314+0.042807j
2021-01-01T05:04:11-08:00,+0.252383+0.042807j
2021-01-01T05:07:40-08:00,+5.254822+0.042807j
2021-01-01T06:00:00-08:00,+5.615938+0.066746j
2021-01-01T07:00:00-08:00,+15.759257+0.097732j
2021-01-01T07:37:35-08:00,+0.787326+0.097732j
2021-01-01T07:41:07-08:00,+5.990774+0.097732j
2021-01-01T08:00:00-08:00,+6.160429+0.114753j
2021-01-01T09:00:00-08:00,+6.302768+0.129194j
2021-01-01T09:33:01-08:00,+0.854559+0.129194j
2021-01-01T09:39:28-08:00,+6.302768+0.129194j
2021-01-01T09:58:01-08:00,+0.854559+0.129194j
2021-01-01T10:00:00-08:00,+0.853168+0.134677j
2021-01-01T10:07:55-08:00,+6.560904+0.134677j
2021-01-01T10:14:02-08:00,+0.853168+0.134677j
2021-01-01T10:24:19-08:00,+6.560904+0.134677j
2021-01-01T10:30:30-08:00,+0.853168+0.134677j
2021-01-01T10:40:40-08:00,+6.560904+0.134677j
2021-01-01T10:46:52-08:00,+0.853168+0.134677j
2021-01-01T10:56:59-08:00,+6.560904+0.134677j
2021-01-01T11:00:00-08:00,+6.807674+0.135353j
2021-01-01T11:02:00-08:00,+0.817884+0.135353j
2021-01-01T11:18:42-08:00,+6.807674+0.135353j
2021-01-01T11:22:58-08:00,+0.817884+0.135353j
2021-01-01T11:38:31-08:00,+6.807674+0.135353j
2021-01-01T11:42:49-08:00,+0.817884+0.135353j
2021-01-01T11:58:01-08:00,+6.807674+0.135353j
2021-01-01T12:00:00-08:00,+6.855376+0.127348j
2021-01-01T12:02:00-08:00,+0.745985+0.127348j
2021-01-01T12:24:22-08:00,+6.855376+0.127348j
2021-01-01T12:28:11-08:00,+0.745985+0.127348j
2021-01-01T12:49:01-08:00,+6.855376+0.127348j
2021-01-01T12:52:51-08:00,+0.745985+0.127348j
2021-01-01T13:00:00-08:00,+0.682785+0.117455j
2021-01-01T13:17:57-08:00,+6.936633+0.117455j
2021-01-01T13:21:27-08:00,+0.682785+0.117455j
2021-01-01T13:44:12-08:00,+6.936633+0.117455j
2021-01-01T13:47:43-08:00,+0.682785+0.117455j
2021-01-01T14:00:00-08:00,+0.615768+0.108059j
2021-01-01T14:06:23-08:00,+6.769382+0.108059j
2021-01-01T14:10:12-08:00,+0.615768+0.108059j
2021-01-01T14:27:24-08:00,+6.769382+0.108059j
2021-01-01T14:31:13-08:00,+0.615768+0.108059j
2021-01-01T14:48:41-08:00,+6.769382+0.108059j
2021-01-01T14:52:29-08:00,+0.615768+0.108059j
2021-01-01T15:00:00-08:00,+0.612417+0.111965j
2021-01-01T15:09:40-08:00,+6.820194+0.111965j
2021-01-01T15:13:23-08:00,+0.612417+0.111965j
2021-01-01T15:29:50-08:00,+6.820194+0.111965j
2021-01-01T15:33:34-08:00,+0.612417+0.111965j
2021-01-01T15:49:48-08:00,+6.820194+0.111965j
2021-01-01T15:53:32-08:00,+0.612417+0.111965j
2021-01-01T16:00:00-08:00,+0.697440+0.136592j
2021-01-01T16:05:54-08:00,+6.754827+0.136592j
2021-01-01T16:10:20-08:00,+0.697440+0.136592j
2021-01-01T16:21:30-08:00,+6.754827+0.136592j
2021-01-01T16:25:57-08:00,+0.697440+0.136592j
2021-01-01T16:37:07-08:00,+6.754827+0.136592j
2021-01-01T16:41:34-08:00,+0.697440+0.136592j
2021-01-01T16:52:43-08:00,+6.754827+0.136592j
2021-01-01T16:57:10-08:00,+0.697440+0.136592j
2021-01-01T17:00:00-08:00,+0.832072+0.173512j
2021-01-01T17:05:15-08:00,+6.660991+0.173512j
2021-01-01T17:11:59-08:00,+0.832072+0.173512j
2021-01-01T17:19:24-08:00,+6.660991+0.173512j
2021-01-01T17:26:12-08:00,+0.832072+0.173512j
2021-01-01T17:33:34-08:00,+6.660991+0.173512j
2021-01-01T17:40:24-08:00,+0.832072+0.173512j
2021-01-01T17:47:44-08:00,+6.660991+0.173512j
2021-01-01T17:54:35-08:00,+0.832072+0.173512j
2021-01-01T18:00:00-08:00,+0.897692+0.170169j
2021-01-01T18:01:35-08:00,+6.605428+0.170169j
2021-01-01T18:11:08-08:00,+0.897692+0.170169j
2021-01-01T18:17:33-08:00,+6.605428+0.170169j
2021-01-01T18:27:04-08:00,+0.897692+0.170169j
2021-01-01T18:33:30-08:00,+6.605428+0.170169j
2021-01-01T18:43:00-08:00,+0.897692+0.170169j
2021-01-01T18:49:27-08:00,+6.605428+0.170169j
2021-01-01T18:58:56-08:00,+0.897692+0.170169j
2021-01-01T19:00:00-08:00,+0.874330+0.151167j
2021-01-01T19:04:37-08:00,+6.383379+0.151167j
2021-01-01T19:28:21-08:00,+0.874330+0.151167j
2021-01-01T19:34:24-08:00,+6.383379+0.151167j
2021-01-01T19:53:58-08:00,+0.874330+0.151167j
2021-01-01T20:00:00-08:00,+0.820676+0.138161j
2021-01-01T20:00:05-08:00,+6.289021+0.138161j
2021-01-01T20:27:10-08:00,+0.820676+0.138161j
2021-01-01T20:33:18-08:00,+6.289021+0.138161j
2021-01-01T20:57:53-08:00,+0.820676+0.138161j
2021-01-01T21:00:00-08:00,+0.774526+0.128870j
2021-01-01T21:03:54-08:00,+6.209387+0.128870j
2021-01-01T21:38:45-08:00,+0.774526+0.128870j
2021-01-01T21:44:57-08:00,+6.209387+0.128870j
2021-01-01T22:00:00-08:00,+6.072757+0.104636j
2021-01-01T22:17:48-08:00,+0.637897+0.104636j
2021-01-01T22:23:59-08:00,+6.072757+0.104636j
2021-01-01T22:57:16-08:00,+0.637897+0.104636j
2021-01-01T23:00:00-08:00,+0.426049+0.071749j
2021-01-01T23:03:25-08:00,+5.860910+0.071749j
2021-01-01T23:39:44-08:00,+0.426049+0.071749j
2021-01-01T23:45:53-08:00,+5.860910+0.071749j
2021-01-02T00:00:00-08:00,+5.767518+0.047205j
2021-01-02T00:08:36-08:00,+0.258469+0.047205j
2021-01-02T00:14:41-08:00,+5.767518+0.047205j
