timestamp,measured_real_energy_delta
2021-01-01T00:00:00-07:00,+0
2021-01-01T00:01:00-07:00,+417.904
2021-01-01T00:02:00-07:00,+1345.79
2021-01-01T00:03:00-07:00,+2419.48
2021-01-01T00:04:00-07:00,+2773.56
2021-01-01T00:05:00-07:00,+2965.08
2021-01-01T00:06:00-07:00,+3456.82
2021-01-01T00:07:00-07:00,+3648.79
2021-01-01T00:08:00-07:00,+3839.13
2021-01-01T00:09:00-07:00,+3987.71
2021-01-01T00:10:00-07:00,+4281.8
2021-01-01T00:11:00-07:00,+4430.66
2021-01-01T00:12:00-07:00,+4742.99
2021-01-01T00:13:00-07:00,+4908.21
2021-01-01T00:14:00-07:00,+5233.68
2021-01-01T00:15:00-07:00,+5374.86
2021-01-01T00:16:00-07:00,+5765.67
2021-01-01T00:17:00-07:00,+6343.09
2021-01-01T00:18:00-07:00,+6893.82
2021-01-01T00:19:00-07:00,+7051.35
2021-01-01T00:20:00-07:00,+7404.9
2021-01-01T00:21:00-07:00,+7823.68
2021-01-01T00:22:00-07:00,+8307.68
2021-01-01T00:23:00-07:00,+8735.74
2021-01-01T00:24:00-07:00,+8970.64
2021-01-01T00:25:00-07:00,+9371.12
2021-01-01T00:26:00-07:00,+9643.35
2021-01-01T00:27:00-07:00,+9863.03
2021-01-01T00:28:00-07:00,+10004.7
2021-01-01T00:29:00-07:00,+10170.7
2021-01-01T00:30:00-07:00,+10786.1
2021-01-01T00:31:00-07:00,+11100.8
2021-01-01T00:32:00-07:00,+11102.4
2021-01-01T00:33:00-07:00,+11280.1
2021-01-01T00:34:00-07:00,+11281.6
2021-01-01T00:35:00-07:00,+11372.9
2021-01-01T00:36:00-07:00,+11619.1
2021-01-01T00:37:00-07:00,+11620.5
2021-01-01T00:38:00-07:00,+11752.3
2021-01-01T00:39:00-07:00,+12022.6
2021-01-01T00:40:00-07:00,+12023.9
2021-01-01T00:41:00-07:00,+12025.2
2021-01-01T00:42:00-07:00,+12156.7
2021-01-01T00:43:00-07:00,+12320.9
2021-01-01T00:44:00-07:00,+12322
2021-01-01T00:45:00-07:00,+12323.1
2021-01-01T00:46:00-07:00,+12324.2
2021-01-01T00:47:00-07:00,+12325.3
2021-01-01T00:48:00-07:00,+12586.8
2021-01-01T00:49:00-07:00,+12718.1
2021-01-01T00:50:00-07:00,+13044.6
2021-01-01T00:51:00-07:00,+13175.7
2021-01-01T00:52:00-07:00,+13176.6
2021-01-01T00:53:00-07:00,+13177.4
2021-01-01T00:54:00-07:00,+13300.2
2021-01-01T00:55:00-07:00,+13263
2021-01-01T00:56:00-07:00,+13442.7
2021-01-01T00:57:00-07:00,+13443.3
2021-01-01T00:58:00-07:00,+13514.6
2021-01-01T00:59:00-07:00,+13515.3
2021-01-01T01:00:00-07:00,+13637.8
2021-01-01T01:01:00-07:00,+13590.9
2021-01-01T01:02:00-07:00,+13651.8
2021-01-01T01:03:00-07:00,+13905.1
2021-01-01T01:04:00-07:00,+13906.1
2021-01-01T01:05:00-07:00,+14099.6
2021-01-01T01:06:00-07:00,+14320.2
2021-01-01T01:07:00-07:00,+14321.2
2021-01-01T01:08:00-07:00,+14566
2021-01-01T01:09:00-07:00,+14650.8
2021-01-01T01:10:00-07:00,+14402.1
2021-01-01T01:11:00-07:00,+14403
2021-01-01T01:12:00-07:00,+14826.5
2021-01-01T01:13:00-07:00,+14587.6
2021-01-01T01:14:00-07:00,+14596.6
2021-01-01T01:15:00-07:00,+14719.2
2021-01-01T01:16:00-07:00,+15024.3
2021-01-01T01:17:00-07:00,+15073.9
2021-01-01T01:18:00-07:00,+15405.2
2021-01-01T01:19:00-07:00,+15405.9
2021-01-01T01:20:00-07:00,+15406.6
2021-01-01T01:21:00-07:00,+15640.5
2021-01-01T01:22:00-07:00,+15771
2021-01-01T01:23:00-07:00,+16023.2
2021-01-01T01:24:00-07:00,+16133.4
2021-01-01T01:25:00-07:00,+15634.9
2021-01-01T01:26:00-07:00,+15757.1
2021-01-01T01:27:00-07:00,+16118.4
2021-01-01T01:28:00-07:00,+16540.5
2021-01-01T01:29:00-07:00,+16316.1
2021-01-01T01:30:00-07:00,+16407.7
2021-01-01T01:31:00-07:00,+16408.2
2021-01-01T01:32:00-07:00,+16499.6
2021-01-01T01:33:00-07:00,+17118.5
2021-01-01T01:34:00-07:00,+17272.7
2021-01-01T01:35:00-07:00,+17370.3
2021-01-01T01:36:00-07:00,+17291.7
2021-01-01T01:37:00-07:00,+17220.9
2021-01-01T01:38:00-07:00,+17422
2021-01-01T01:39:00-07:00,+17604.8
2021-01-01T01:40:00-07:00,+17864.1
2021-01-01T01:41:00-07:00,+17554.3
2021-01-01T01:42:00-07:00,+17554.6
2021-01-01T01:43:00-07:00,+17554.9
2021-01-01T01:44:00-07:00,+17105
2021-01-01T01:45:00-07:00,+17278.5
2021-01-01T01:46:00-07:00,+17278.8
2021-01-01T01:47:00-07:00,+17078.4
2021-01-01T01:48:00-07:00,+17166.6
2021-01-01T01:49:00-07:00,+17238.4
2021-01-01T01:50:00-07:00,+17238.7
2021-01-01T01:51:00-07:00,+17310.5
2021-01-01T01:52:00-07:00,+17382.3
2021-01-01T01:53:00-07:00,+17311.3
2021-01-01T01:54:00-07:00,+17408.7
2021-01-01T01:55:00-07:00,+16908.2
2021-01-01T01:56:00-07:00,+17037.8
2021-01-01T01:57:00-07:00,+16860.1
2021-01-01T01:58:00-07:00,+17030.2
2021-01-01T01:59:00-07:00,+16833.8
2021-01-01T02:00:00-07:00,+16384
2021-01-01T02:01:00-07:00,+16417.6
2021-01-01T02:02:00-07:00,+16128.9
2021-01-01T02:03:00-07:00,+16000.4
2021-01-01T02:04:00-07:00,+16249.3
2021-01-01T02:05:00-07:00,+16099.7
2021-01-01T02:06:00-07:00,+16041.2
2021-01-01T02:07:00-07:00,+16025.2
2021-01-01T02:08:00-07:00,+15825.1
2021-01-01T02:09:00-07:00,+15486
2021-01-01T02:10:00-07:00,+15566.6
2021-01-01T02:11:00-07:00,+15315.9
2021-01-01T02:12:00-07:00,+15109.3
2021-01-01T02:13:00-07:00,+15318.9
2021-01-01T02:14:00-07:00,+15340.8
2021-01-01T02:15:00-07:00,+15475.1
2021-01-01T02:16:00-07:00,+15417.1
2021-01-01T02:17:00-07:00,+14644.3
2021-01-01T02:18:00-07:00,+14471.1
2021-01-01T02:19:00-07:00,+13548.2
2021-01-01T02:20:00-07:00,+13395.6
2021-01-01T02:21:00-07:00,+13602.1
2021-01-01T02:22:00-07:00,+13736.8
2021-01-01T02:23:00-07:00,+13913.7
2021-01-01T02:24:00-07:00,+14048.6
2021-01-01T02:25:00-07:00,+13905.4
2021-01-01T02:26:00-07:00,+13005.8
2021-01-01T02:27:00-07:00,+13087.1
2021-01-01T02:28:00-07:00,+12697.3
2021-01-01T02:29:00-07:00,+12770.3
2021-01-01T02:30:00-07:00,+13093.2
2021-01-01T02:31:00-07:00,+13222.7
2021-01-01T02:32:00-07:00,+13575.3
2021-01-01T02:33:00-07:00,+13648.5
2021-01-01T02:34:00-07:00,+13596.1
2021-01-01T02:35:00-07:00,+13082.9
2021-01-01T02:36:00-07:00,+12834.3
2021-01-01T02:37:00-07:00,+12484.4
2021-01-01T02:38:00-07:00,+12788.7
2021-01-01T02:39:00-07:00,+13014.9
2021-01-01T02:40:00-07:00,+13032.7
2021-01-01T02:41:00-07:00,+12927
2021-01-01T02:42:00-07:00,+13015.9
2021-01-01T02:43:00-07:00,+13016.9
2021-01-01T02:44:00-07:00,+13098.6
2021-01-01T02:45:00-07:00,+13308.7
2021-01-01T02:46:00-07:00,+12958.9
2021-01-01T02:47:00-07:00,+12959.9
2021-01-01T02:48:00-07:00,+12760.2
2021-01-01T02:49:00-07:00,+12742.5
2021-01-01T02:50:00-07:00,+12374.2
2021-01-01T02:51:00-07:00,+12174.5
2021-01-01T02:52:00-07:00,+12175.4
2021-01-01T02:53:00-07:00,+12007.8
2021-01-01T02:54:00-07:00,+12145.3
2021-01-01T02:55:00-07:00,+12178.3
2021-01-01T02:56:00-07:00,+12260.3
2021-01-01T02:57:00-07:00,+12350.7
2021-01-01T02:58:00-07:00,+12609.8
2021-01-01T02:59:00-07:00,+12691.9
2021-01-01T03:00:00-07:00,+12958.8
2021-01-01T03:01:00-07:00,+12739.8
2021-01-01T03:02:00-07:00,+12740.4
2021-01-01T03:03:00-07:00,+12914.6
2021-01-01T03:04:00-07:00,+12699
2021-01-01T03:05:00-07:00,+12458.5
2021-01-01T03:06:00-07:00,+12587
2021-01-01T03:07:00-07:00,+12577.4
2021-01-01T03:08:00-07:00,+12426.1
2021-01-01T03:09:00-07:00,+12603.8
2021-01-01T03:10:00-07:00,+12732.3
2021-01-01T03:11:00-07:00,+12562
2021-01-01T03:12:00-07:00,+12643.8
2021-01-01T03:13:00-07:00,+11993.5
2021-01-01T03:14:00-07:00,+11994.1
2021-01-01T03:15:00-07:00,+12463.6
2021-01-01T03:16:00-07:00,+12730.1
2021-01-01T03:17:00-07:00,+12966.1
2021-01-01T03:18:00-07:00,+13262.8
2021-01-01T03:19:00-07:00,+13573.2
2021-01-01T03:20:00-07:00,+13723.9
2021-01-01T03:21:00-07:00,+13684.1
2021-01-01T03:22:00-07:00,+13484.1
2021-01-01T03:23:00-07:00,+13322.5
2021-01-01T03:24:00-07:00,+13122.5
2021-01-01T03:25:00-07:00,+13299.7
2021-01-01T03:26:00-07:00,+13596.8
2021-01-01T03:27:00-07:00,+13605.9
2021-01-01T03:28:00-07:00,+13807.2
2021-01-01T03:29:00-07:00,+14000.1
2021-01-01T03:30:00-07:00,+13959.6
2021-01-01T03:31:00-07:00,+14486.6
2021-01-01T03:32:00-07:00,+14487.2
2021-01-01T03:33:00-07:00,+14575.1
2021-01-01T03:34:00-07:00,+14448
2021-01-01T03:35:00-07:00,+14199.1
2021-01-01T03:36:00-07:00,+13950.2
2021-01-01T03:37:00-07:00,+13750.2
2021-01-01T03:38:00-07:00,+13750.8
2021-01-01T03:39:00-07:00,+13764.6
2021-01-01T03:40:00-07:00,+13654.7
2021-01-01T03:41:00-07:00,+13578.5
2021-01-01T03:42:00-07:00,+13433
